Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
5,BatchMatMulV2,AI_CORE,7337,138765.2,7.2,18.913,384.84,57.549
5,StridedSliceD,AI_VECTOR_CORE,4872,48943.62,1.08,10.045,30.8,20.298
5,ConcatD,AI_VECTOR_CORE,3277,20417.74,3.6,6.23,10.16,8.468
5,Expand,AI_VECTOR_CORE,1624,11540.34,5.98,7.106,15.34,4.786
5,Add,AI_VECTOR_CORE,2436,5629.9,1.38,2.311,7.98,2.335
5,AutomaticBufferFusionOp,AI_VECTOR_CORE,2494,4260.38,0.96,1.708,3.24,1.767
5,Transpose,AI_VECTOR_CORE,29,3863.6,131.62,133.227,137.2,1.602
5,SoftmaxV2,AI_VECTOR_CORE,812,2823.38,3.08,3.477,4.28,1.171
5,GatherV2,AI_VECTOR_CORE,1653,2511.98,1.06,1.519,10.28,1.042
5,Neg,AI_VECTOR_CORE,1624,1781.98,0.92,1.097,1.48,0.739
5,Cast,AI_VECTOR_CORE,116,414.34,1.22,3.571,8.8,0.172
5,SelectV2,AI_VECTOR_CORE,29,56.2,1.7,1.937,2.3,0.023
5,Tril,AI_VECTOR_CORE,29,39.92,1.2,1.376,1.88,0.017
5,Mul,AI_VECTOR_CORE,29,38.78,1.2,1.337,1.48,0.016
5,Square,AI_VECTOR_CORE,29,38.48,1.24,1.326,1.5,0.016
