Device_id,Iteration ID,FP Start(us),BP End(us),Iteration End(us),Iteration Time(us),FP to BP Time(us),Iteration Refresh(us),Data Aug Bound(us),Model ID
5,1,0.000	,0.000	,1785400514126373.410	,8544.280,0.000,0.000,0.000,1
5,2,0.000	,0.000	,1785400514135174.970	,8531.320,0.000,0.000,0.000,1
5,3,0.000	,0.000	,1785400514143920.670	,8526.440,0.000,0.000,0.000,1
5,4,0.000	,0.000	,1785400514152655.830	,8540.580,0.000,0.000,0.000,1
5,5,0.000	,0.000	,1785400514161438.910	,8518.740,0.000,0.000,0.000,1
5,6,0.000	,0.000	,1785400514170178.570	,8537.760,0.000,0.000,0.000,1
5,7,0.000	,0.000	,1785400514178930.130	,8525.740,0.000,0.000,0.000,1
5,8,0.000	,0.000	,1785400514187675.490	,8535.580,0.000,0.000,0.000,1
5,9,0.000	,0.000	,1785400514196427.330	,8522.480,0.000,0.000,0.000,1
5,10,0.000	,0.000	,1785400514205192.290	,8549.220,0.000,0.000,0.000,1
5,11,0.000	,0.000	,1785400514214875.970	,8552.360,0.000,0.000,0.000,1
5,12,0.000	,0.000	,1785400514224520.330	,8547.080,0.000,0.000,0.000,1
5,13,0.000	,0.000	,1785400514233705.970	,8542.340,0.000,0.000,0.000,1
5,14,0.000	,0.000	,1785400514242841.110	,8554.420,0.000,0.000,0.000,1
5,15,0.000	,0.000	,1785400514252426.810	,8527.600,0.000,0.000,0.000,1
5,16,0.000	,0.000	,1785400514262009.890	,8801.460,0.000,0.000,0.000,1
5,17,0.000	,0.000	,1785400514273168.330	,8521.500,0.000,0.000,0.000,1
5,18,0.000	,0.000	,1785400514283081.350	,8535.240,0.000,0.000,0.000,1
5,19,0.000	,0.000	,1785400514292573.570	,8518.100,0.000,0.000,0.000,1
5,20,0.000	,0.000	,1785400514302318.630	,8618.000,0.000,0.000,0.000,1
5,21,0.000	,0.000	,1785400514311680.090	,8531.880,0.000,0.000,0.000,1
5,22,0.000	,0.000	,1785400514320854.670	,8521.740,0.000,0.000,0.000,1
5,23,0.000	,0.000	,1785400514330258.970	,8525.860,0.000,0.000,0.000,1
5,24,0.000	,0.000	,1785400514340310.690	,8535.320,0.000,0.000,0.000,1
5,25,0.000	,0.000	,1785400514349675.190	,8532.440,0.000,0.000,0.000,1
5,26,0.000	,0.000	,1785400514359347.270	,8540.120,0.000,0.000,0.000,1
5,27,0.000	,0.000	,1785400514369360.790	,8553.020,0.000,0.000,0.000,1
5,28,0.000	,0.000	,1785400514378758.230	,8517.600,0.000,0.000,0.000,1
5,29,0.000	,0.000	,1785400514387846.470	,8519.340,0.000,0.000,0.000,1
