Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
5,BatchMatMulV2,AI_CORE,7337,142673.72,6.96,19.445,397.42,61.011
5,StridedSliceD,AI_VECTOR_CORE,1624,41807.7,22.74,25.743,29.22,17.878
5,ConcatD,AI_VECTOR_CORE,1653,13826.82,3.62,8.364,10.94,5.913
5,Expand,AI_VECTOR_CORE,1624,11010.26,5.88,6.779,13.16,4.708
5,RotaryPositionEmbedding,MIX_AIV,1624,6185.32,2.5,3.808,6.72,2.645
5,Add,AI_VECTOR_CORE,2436,5847.26,1.36,2.4,7.5,2.5
5,Transpose,AI_VECTOR_CORE,29,3871.48,130.08,133.499,141.58,1.656
5,SoftmaxV2,AI_VECTOR_CORE,812,2542.64,2.78,3.131,4,1.087
5,GatherV2,AI_VECTOR_CORE,1653,2464.9,1.12,1.491,8.56,1.054
5,AutomaticBufferFusionOp,AI_VECTOR_CORE,870,2088.02,1.22,2.4,3.12,0.893
5,RealDiv,AI_VECTOR_CORE,812,975.42,1.02,1.201,1.52,0.417
5,Cast,AI_VECTOR_CORE,116,390.54,1.28,3.366,8.2,0.167
5,SelectV2,AI_VECTOR_CORE,29,51.38,1.64,1.771,2.1,0.022
5,Tril,AI_VECTOR_CORE,29,38.68,1.3,1.333,1.5,0.017
5,Square,AI_VECTOR_CORE,29,38.34,1.28,1.322,1.48,0.016
5,Mul,AI_VECTOR_CORE,29,38.32,1.26,1.321,1.46,0.016
