Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_fp16_ratio,aic_mac_int8_ratio,aic_cube_fops,aiv_time(us),aiv_total_cycles,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_misc_ratio,aiv_vector_fops
5,1,0,45,MY_/model/Trilu_Tril,Tril,static,AI_VECTOR_CORE,1785400772332943.785	,1.320,0,1,0,NO,"""1,1,1""",FLOAT,NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.761,1370,0.0,0.0,0.0,0.001,64.0
5,1,1,45,/model/Cast_1,Cast,static,AI_VECTOR_CORE,1785400772332945.125	,2.800,0.000000,9,0,NO,"""1,1,4097""",INT64,NCHW,"""1,1,4097""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.844,29870,0.0,0.0,0.0,0.006,6016.0
5,1,2,45,PartitionedCall_/model/embed_tokens/Gather_gatherv2_3,GatherV2,static,AI_VECTOR_CORE,1785400772332947.945	,8.420,0.200000,48,0,NO,"""151936,1536;1,1;""",FLOAT16;INT64;INT32,NCHW;NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,5.208,449964,0.0,0.0,0.0,0.001,13824.0
5,1,3,45,/model/layers.0/input_layernorm/Cast,Cast,static,AI_VECTOR_CORE,1785400772332956.385	,1.340,0.080000,2,0,NO,"""1,1,1536""",FLOAT16,NCHW,"""1,1,1536""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.707,2545,0.009,0.0,0.0,0.005,1920.0
5,1,4,45,/model/layers.0/input_layernorm/Pow/SquarePartitionedCall_/model/layers.0/input_layernorm/ReduceMean_ReduceMean_305,Square,static,AI_VECTOR_CORE,1785400772332957.765	,1.320,0.000000,1,0,NO,"""1,1,1536""",FLOAT,NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.766,1379,0.052,0.0,0.0,0.004,4768.0
5,1,5,45,/model/layers.0/input_layernorm/Add/model/layers.0/input_layernorm/Sqrt/model/layers.0/input_layernorm/Div,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1785400772332959.105	,1.400,0.000000,1,0,NO,"""1,1,1;;""",FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.911,1640,0.002,0.0,0.0,0.002,320.0
5,1,6,45,trans_Cast_0/model/layers.0/input_layernorm/Mul,Cast,static,AI_VECTOR_CORE,1785400772332960.525	,1.340,0.100000,2,0,NO,"""1,1,1;1,1,1536""",FLOAT;FLOAT16,NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.73,2629,0.005,0.005,0.0,0.005,2880.0
5,1,7,45,/model/layers.0/input_layernorm/Mul_1,Mul,static,AI_VECTOR_CORE,1785400772332961.885	,1.320,0.160000,1,0,NO,"""1536;1,1,1536""",FLOAT16;FLOAT16,NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.795,1431,0.008,0.008,0.0,0.004,2496.0
5,1,9,45,/model/layers.0/self_attn/v_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772332963.265	,10.140,0.000000,16,0,NO,"""1,1536;1536,256;256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,256""",FLOAT16,NCHW,N/A,8.884,255873,0.022,0.0,45203456.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,10,45,/model/layers.0/self_attn/q_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772332973.425	,12.140,0.110000,24,0,NO,"""1,1536;1536,1536;1536""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,1536""",FLOAT16,NCHW,N/A,10.465,452091,0.038,0.0,142409728.0,0.0,0,0.0,0.0,0.0,0.0,0.0
