Device_id,Iteration ID,FP Start(us),BP End(us),Iteration End(us),Iteration Time(us),FP to BP Time(us),Iteration Refresh(us),Data Aug Bound(us),Model ID
5,1,0.000	,0.000	,1785400772341253.425	,8323.940,0.000,0.000,0.000,1
5,2,0.000	,0.000	,1785400772349865.565	,8322.640,0.000,0.000,0.000,1
5,3,0.000	,0.000	,1785400772358434.665	,8343.240,0.000,0.000,0.000,1
5,4,0.000	,0.000	,1785400772367153.665	,8329.620,0.000,0.000,0.000,1
5,5,0.000	,0.000	,1785400772377986.385	,8339.580,0.000,0.000,0.000,1
5,6,0.000	,0.000	,1785400772386534.385	,8341.660,0.000,0.000,0.000,1
5,7,0.000	,0.000	,1785400772395082.725	,8336.880,0.000,0.000,0.000,1
5,8,0.000	,0.000	,1785400772403674.665	,8336.340,0.000,0.000,0.000,1
5,9,0.000	,0.000	,1785400772412257.525	,8342.300,0.000,0.000,0.000,1
5,10,0.000	,0.000	,1785400772420876.165	,8342.540,0.000,0.000,0.000,1
5,11,0.000	,0.000	,1785400772430389.725	,8338.660,0.000,0.000,0.000,1
5,12,0.000	,0.000	,1785400772440391.105	,8346.440,0.000,0.000,0.000,1
5,13,0.000	,0.000	,1785400772449768.525	,8330.160,0.000,0.000,0.000,1
5,14,0.000	,0.000	,1785400772458907.665	,8336.340,0.000,0.000,0.000,1
5,15,0.000	,0.000	,1785400772467780.345	,8321.320,0.000,0.000,0.000,1
5,16,0.000	,0.000	,1785400772539741.065	,8326.840,0.000,0.000,0.000,1
5,17,0.000	,0.000	,1785400772549080.905	,8345.100,0.000,0.000,0.000,1
5,18,0.000	,0.000	,1785400772558776.985	,8341.860,0.000,0.000,0.000,1
5,19,0.000	,0.000	,1785400772567982.885	,8340.700,0.000,0.000,0.000,1
5,20,0.000	,0.000	,1785400772576971.265	,8336.800,0.000,0.000,0.000,1
5,21,0.000	,0.000	,1785400772586004.625	,8357.800,0.000,0.000,0.000,1
5,22,0.000	,0.000	,1785400772595610.785	,8333.540,0.000,0.000,0.000,1
5,23,0.000	,0.000	,1785400772605119.185	,8338.940,0.000,0.000,0.000,1
5,24,0.000	,0.000	,1785400772614403.345	,8321.240,0.000,0.000,0.000,1
5,25,0.000	,0.000	,1785400772623803.505	,8331.560,0.000,0.000,0.000,1
5,26,0.000	,0.000	,1785400772633444.705	,8325.040,0.000,0.000,0.000,1
5,27,0.000	,0.000	,1785400772642956.565	,8339.800,0.000,0.000,0.000,1
5,28,0.000	,0.000	,1785400772652092.065	,8322.520,0.000,0.000,0.000,1
5,29,0.000	,0.000	,1785400772661080.165	,8326.660,0.000,0.000,0.000,1
