Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,N/A,PROFILING_ENABLE,49,3,0.020,1785400772308588.525	,1785400772308588.545	
5,N/A,PROFILER_TRACE_EX,46,18,0.020,1785400772332939.725	,1785400772332939.745	
5,N/A,MODEL_EXECUTE,46,19,5.460,1785400772332940.485	,1785400772332945.945	
5,te_tril_e539f979999c06d225d42ae4fb24760575fe135e344a3b9f3c03f7b5b4aed4ca__kernel0,AI_VECTOR_CORE,45,0,1.320,1785400772332943.785	,1785400772332945.105	
5,te_cast_f322b80baae4adad3d01d4e6167e275469ba0e9445593a44b77b35362ed4cbe1__kernel0,AI_VECTOR_CORE,45,1,2.800,1785400772332945.125	,1785400772332947.925	
5,N/A,EVENT_WAIT,44,0,18.000,1785400772332946.225	,1785400772332964.225	
5,te_gatherv2_093c182c7f0d089bc5fad613890566c386fe7a018b374b80aa69798d86eb0fb0__kernel0,AI_VECTOR_CORE,45,2,8.420,1785400772332947.945	,1785400772332956.365	
5,te_cast_d083929a43ef843ab641c1d3099e20676f0a139ddfeb14b30775bb5e0cabf1ce__kernel0,AI_VECTOR_CORE,45,3,1.340,1785400772332956.385	,1785400772332957.725	
5,N/A,NOTIFY_WAIT,46,20,8255.960,1785400772332956.565	,1785400772341212.525	
5,te_fused_op_square_reduce_mean_d_eda41f3bf4fb803584a589268998b7f631e7093efb16f63fa2727d67525184fa__kernel0,AI_VECTOR_CORE,45,4,1.320,1785400772332957.765	,1785400772332959.085	
5,te_fused_op_add_sqrt_real_div_a26da73a381c887af6cf15f23f0f5054268369b69498d82fea42af5638327db3__kernel0,AI_VECTOR_CORE,45,5,1.400,1785400772332959.105	,1785400772332960.505	
5,te_fused_op_cast_mul_d4c5c3cb2d88aba3633d4c52b6f93126c6ac2bb8ff66536d257e9ee98bec8119__kernel0,AI_VECTOR_CORE,45,6,1.340,1785400772332960.525	,1785400772332961.865	
5,te_mul_bf07ba7789e6b5ba632e38a7b155ddb579f2c65a73c8edec5d73fe5caa3383e0__kernel0,AI_VECTOR_CORE,45,7,1.320,1785400772332961.885	,1785400772332963.205	
5,N/A,EVENT_RECORD,45,8,0.020,1785400772332963.225	,1785400772332963.245	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,9,10.140,1785400772332963.265	,1785400772332973.405	
5,N/A,EVENT_RESET,44,1,0.100,1785400772332964.265	,1785400772332964.365	
5,N/A,EVENT_RECORD,44,2,0.020,1785400772332964.385	,1785400772332964.405	
5,N/A,EVENT_RECORD,44,3,0.020,1785400772332964.425	,1785400772332964.445	
5,N/A,EVENT_RECORD,44,4,0.020,1785400772332964.465	,1785400772332964.485	
5,N/A,EVENT_WAIT,44,5,21.980,1785400772332964.505	,1785400772332986.485	
5,te_batchmatmulv2_361169014e115f621781e5268aa613ed9c5ffedb4a2bd9cf6672ef848806874c__kernel0,AI_CORE,45,10,12.140,1785400772332973.425	,1785400772332985.565	
