Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
5,BatchMatMulV2,AI_CORE,7337,138603.92,7.02,18.891,395.06,61.477
5,StridedSliceD,AI_VECTOR_CORE,1624,37611.76,22.48,23.159,24.22,16.682
5,Expand,AI_VECTOR_CORE,1624,11625.68,6.14,7.158,11.32,5.156
5,GatherV2,AI_VECTOR_CORE,2465,8540.6,1.12,3.464,11.7,3.788
5,ConcatD,AI_VECTOR_CORE,1653,7252.32,3.3,4.387,9.04,3.217
5,RotaryPositionEmbedding,MIX_AIV,1624,6016.08,2.48,3.704,6.46,2.668
5,Add,AI_VECTOR_CORE,2436,5749.52,1.38,2.36,7.66,2.55
5,Transpose,AI_VECTOR_CORE,29,3947.86,133.8,136.133,139.72,1.751
5,SoftmaxV2,AI_VECTOR_CORE,812,2517.78,2.78,3.1,4.06,1.117
5,AutomaticBufferFusionOp,AI_VECTOR_CORE,870,2027.54,1.3,2.33,3.1,0.899
5,RealDiv,AI_VECTOR_CORE,812,998.3,1.06,1.229,1.6,0.443
5,Cast,AI_VECTOR_CORE,116,399.68,1.3,3.445,8.34,0.177
5,SelectV2,AI_VECTOR_CORE,29,50.98,1.64,1.757,1.92,0.023
5,Tril,AI_VECTOR_CORE,29,39.14,1.28,1.349,1.68,0.017
5,Square,AI_VECTOR_CORE,29,38.76,1.3,1.336,1.4,0.017
5,Mul,AI_VECTOR_CORE,29,38.32,1.26,1.321,1.46,0.017
