Device_id,Iteration ID,FP Start(us),BP End(us),Iteration End(us),Iteration Time(us),FP to BP Time(us),Iteration Refresh(us),Data Aug Bound(us),Model ID
5,1,0.000	,0.000	,1785402658556455.330	,8060.800,0.000,0.000,0.000,1
5,2,0.000	,0.000	,1785402658564789.990	,8041.320,0.000,0.000,0.000,1
5,3,0.000	,0.000	,1785402658573040.170	,8030.280,0.000,0.000,0.000,1
5,4,0.000	,0.000	,1785402658581275.090	,8043.100,0.000,0.000,0.000,1
5,5,0.000	,0.000	,1785402658589538.410	,8050.320,0.000,0.000,0.000,1
5,6,0.000	,0.000	,1785402658597761.090	,8038.380,0.000,0.000,0.000,1
5,7,0.000	,0.000	,1785402658605992.730	,8040.600,0.000,0.000,0.000,1
5,8,0.000	,0.000	,1785402658614276.310	,8051.540,0.000,0.000,0.000,1
5,9,0.000	,0.000	,1785402658624411.190	,8040.080,0.000,0.000,0.000,1
5,10,0.000	,0.000	,1785402658632641.890	,8035.000,0.000,0.000,0.000,1
5,11,0.000	,0.000	,1785402658642736.590	,8047.440,0.000,0.000,0.000,1
5,12,0.000	,0.000	,1785402658652210.890	,8058.940,0.000,0.000,0.000,1
5,13,0.000	,0.000	,1785402658661754.850	,8051.920,0.000,0.000,0.000,1
5,14,0.000	,0.000	,1785402658670988.890	,8039.800,0.000,0.000,0.000,1
5,15,0.000	,0.000	,1785402658680368.050	,8052.980,0.000,0.000,0.000,1
5,16,0.000	,0.000	,1785402658689453.890	,8048.820,0.000,0.000,0.000,1
5,17,0.000	,0.000	,1785402658698675.510	,8039.280,0.000,0.000,0.000,1
5,18,0.000	,0.000	,1785402658707804.890	,8049.380,0.000,0.000,0.000,1
5,19,0.000	,0.000	,1785402658717045.210	,8042.540,0.000,0.000,0.000,1
5,20,0.000	,0.000	,1785402658726281.950	,8055.200,0.000,0.000,0.000,1
5,21,0.000	,0.000	,1785402658735374.210	,8046.640,0.000,0.000,0.000,1
5,22,0.000	,0.000	,1785402658744716.230	,8057.880,0.000,0.000,0.000,1
5,23,0.000	,0.000	,1785402658753873.610	,8052.260,0.000,0.000,0.000,1
5,24,0.000	,0.000	,1785402658762906.910	,8061.220,0.000,0.000,0.000,1
5,25,0.000	,0.000	,1785402658771709.990	,8047.600,0.000,0.000,0.000,1
5,26,0.000	,0.000	,1785402658780349.770	,8030.560,0.000,0.000,0.000,1
5,27,0.000	,0.000	,1785402658789198.590	,8056.820,0.000,0.000,0.000,1
5,28,0.000	,0.000	,1785402658798256.910	,8048.220,0.000,0.000,0.000,1
5,29,0.000	,0.000	,1785402658807431.530	,8055.900,0.000,0.000,0.000,1
