Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,N/A,PROFILING_ENABLE,49,3,0.000,1785402658521670.470	,1785402658521670.470	
5,N/A,PROFILER_TRACE_EX,46,18,0.020,1785402658548405.210	,1785402658548405.230	
5,N/A,MODEL_EXECUTE,46,19,5.360,1785402658548406.010	,1785402658548411.370	
5,te_tril_e539f979999c06d225d42ae4fb24760575fe135e344a3b9f3c03f7b5b4aed4ca__kernel0,AI_VECTOR_CORE,45,0,1.300,1785402658548409.350	,1785402658548410.650	
5,te_cast_f322b80baae4adad3d01d4e6167e275469ba0e9445593a44b77b35362ed4cbe1__kernel0,AI_VECTOR_CORE,45,1,3.840,1785402658548410.670	,1785402658548414.510	
5,N/A,EVENT_WAIT,44,0,18.640,1785402658548411.750	,1785402658548430.390	
5,te_gatherv2_093c182c7f0d089bc5fad613890566c386fe7a018b374b80aa69798d86eb0fb0__kernel0,AI_VECTOR_CORE,45,2,8.160,1785402658548414.530	,1785402658548422.690	
5,te_cast_d083929a43ef843ab641c1d3099e20676f0a139ddfeb14b30775bb5e0cabf1ce__kernel0,AI_VECTOR_CORE,45,3,1.360,1785402658548422.710	,1785402658548424.070	
5,N/A,NOTIFY_WAIT,46,20,7974.920,1785402658548422.910	,1785402658556397.830	
5,te_fused_op_square_reduce_mean_d_eda41f3bf4fb803584a589268998b7f631e7093efb16f63fa2727d67525184fa__kernel0,AI_VECTOR_CORE,45,4,1.340,1785402658548424.090	,1785402658548425.430	
5,te_fused_op_add_sqrt_real_div_a26da73a381c887af6cf15f23f0f5054268369b69498d82fea42af5638327db3__kernel0,AI_VECTOR_CORE,45,5,1.320,1785402658548425.450	,1785402658548426.770	
5,te_fused_op_cast_mul_d4c5c3cb2d88aba3633d4c52b6f93126c6ac2bb8ff66536d257e9ee98bec8119__kernel0,AI_VECTOR_CORE,45,6,1.320,1785402658548426.810	,1785402658548428.130	
5,te_mul_bf07ba7789e6b5ba632e38a7b155ddb579f2c65a73c8edec5d73fe5caa3383e0__kernel0,AI_VECTOR_CORE,45,7,1.280,1785402658548428.170	,1785402658548429.450	
5,N/A,EVENT_RECORD,45,8,0.020,1785402658548429.470	,1785402658548429.490	
5,te_batchmatmulv2_361169014e115f621781e5268aa613ed9c5ffedb4a2bd9cf6672ef848806874c__kernel0,AI_CORE,45,9,12.520,1785402658548429.510	,1785402658548442.030	
5,N/A,EVENT_RESET,44,1,0.080,1785402658548430.450	,1785402658548430.530	
5,N/A,EVENT_RECORD,44,2,0.000,1785402658548430.570	,1785402658548430.570	
5,N/A,EVENT_RECORD,44,3,0.000,1785402658548430.610	,1785402658548430.610	
5,N/A,EVENT_RECORD,44,4,0.020,1785402658548430.650	,1785402658548430.670	
5,N/A,EVENT_WAIT,44,5,12.280,1785402658548430.690	,1785402658548442.970	
5,N/A,EVENT_RECORD,45,10,0.020,1785402658548442.050	,1785402658548442.070	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,11,10.420,1785402658548442.090	,1785402658548452.510	
5,N/A,EVENT_RESET,44,6,0.080,1785402658548442.990	,1785402658548443.070	
5,N/A,EVENT_WAIT,44,7,10.280,1785402658548443.150	,1785402658548453.430	
5,N/A,EVENT_RECORD,45,12,0.020,1785402658548452.530	,1785402658548452.550	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,13,11.400,1785402658548452.570	,1785402658548463.970	
5,N/A,EVENT_RESET,44,8,0.100,1785402658548453.450	,1785402658548453.550	
