Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,model,InputCopy,89.5,29,3.086,1.03,8.68,5.322
host,model,ModelExecute,211122.02,29,7280.07,7247.97,7369.28,723.327
host,model,ModelLoad,600917.89,1,600917.89,600917.89,600917.89,0
host,model,OutputCopy,16.15,29,0.557,0.12,2.03,0.229
host,acl,aclmdlExecute,212695.22,29,7334.318,7294.82,7460.7,1476.123
host,acl,aclrtMemcpy,5280.71,136,38.829,10.75,149.7,970.741
host,acl,aclrtMemset,16482.5,1,16482.5,16482.5,16482.5,0
host,acl,aclrtSetCurrentContext,112.76,29,3.888,0.61,15.89,17.645
host,node,launch,7133.55,742,9.614,4.04,274.08,208.177
host,node,step_info,625.29,58,10.781,3.78,43.82,65.805
