Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
5,BatchMatMulV2,AI_CORE,7337,145456.58,7.2,19.825,396.64,71.682
5,GatherV2,AI_VECTOR_CORE,4089,16323.2,1.12,3.991,13.42,8.044
5,Expand,AI_VECTOR_CORE,1624,11611.04,6.22,7.149,13.48,5.722
5,ConcatD,AI_VECTOR_CORE,1653,7326.48,3.08,4.432,10.26,3.611
5,RotaryPositionEmbedding,MIX_AIV,1624,5961.8,2.52,3.671,6.04,2.938
5,Add,AI_VECTOR_CORE,2436,5731.24,1.38,2.352,8.56,2.824
5,Transpose,AI_VECTOR_CORE,29,3886.26,131.16,134.008,141.54,1.915
5,SoftmaxV2,AI_VECTOR_CORE,812,2689.36,2.94,3.312,4.46,1.325
5,AutomaticBufferFusionOp,AI_VECTOR_CORE,870,2300.52,1.2,2.644,3.44,1.134
5,RealDiv,AI_VECTOR_CORE,812,1002.48,1.04,1.234,1.6,0.494
5,Cast,AI_VECTOR_CORE,116,462.06,1.22,3.983,10.48,0.228
5,SelectV2,AI_VECTOR_CORE,29,53.48,1.66,1.844,2.18,0.026
5,Mul,AI_VECTOR_CORE,29,39.22,1.24,1.352,1.58,0.019
5,Tril,AI_VECTOR_CORE,29,38.78,1.16,1.337,1.5,0.019
5,Square,AI_VECTOR_CORE,29,37.98,1.2,1.309,1.5,0.019
