Device_id,Iteration ID,FP Start(us),BP End(us),Iteration End(us),Iteration Time(us),FP to BP Time(us),Iteration Refresh(us),Data Aug Bound(us),Model ID
5,1,0.000	,0.000	,1785407283103309.055	,7283.500,0.000,0.000,0.000,1
5,2,0.000	,0.000	,1785407283110876.555	,7265.040,0.000,0.000,0.000,1
5,3,0.000	,0.000	,1785407283118379.555	,7266.240,0.000,0.000,0.000,1
5,4,0.000	,0.000	,1785407283125935.095	,7259.040,0.000,0.000,0.000,1
5,5,0.000	,0.000	,1785407283133424.835	,7293.980,0.000,0.000,0.000,1
5,6,0.000	,0.000	,1785407283140875.415	,7259.040,0.000,0.000,0.000,1
5,7,0.000	,0.000	,1785407283148317.915	,7249.380,0.000,0.000,0.000,1
5,8,0.000	,0.000	,1785407283155793.475	,7264.740,0.000,0.000,0.000,1
5,9,0.000	,0.000	,1785407283163247.315	,7256.860,0.000,0.000,0.000,1
5,10,0.000	,0.000	,1785407283170702.615	,7245.760,0.000,0.000,0.000,1
5,11,0.000	,0.000	,1785407283178998.455	,7258.440,0.000,0.000,0.000,1
5,12,0.000	,0.000	,1785407283187299.655	,7276.480,0.000,0.000,0.000,1
5,13,0.000	,0.000	,1785407283195754.515	,7293.840,0.000,0.000,0.000,1
5,14,0.000	,0.000	,1785407283203864.375	,7273.200,0.000,0.000,0.000,1
5,15,0.000	,0.000	,1785407283211780.235	,7268.120,0.000,0.000,0.000,1
5,16,0.000	,0.000	,1785407283219678.815	,7262.580,0.000,0.000,0.000,1
5,17,0.000	,0.000	,1785407283228413.175	,7332.580,0.000,0.000,0.000,1
5,18,0.000	,0.000	,1785407283237118.895	,7281.720,0.000,0.000,0.000,1
5,19,0.000	,0.000	,1785407283245161.895	,7290.760,0.000,0.000,0.000,1
5,20,0.000	,0.000	,1785407283253309.075	,7259.740,0.000,0.000,0.000,1
5,21,0.000	,0.000	,1785407283261798.935	,7289.460,0.000,0.000,0.000,1
5,22,0.000	,0.000	,1785407283270014.015	,7266.820,0.000,0.000,0.000,1
5,23,0.000	,0.000	,1785407283278131.975	,7249.980,0.000,0.000,0.000,1
5,24,0.000	,0.000	,1785407283286138.475	,7270.260,0.000,0.000,0.000,1
5,25,0.000	,0.000	,1785407283294179.775	,7275.240,0.000,0.000,0.000,1
5,26,0.000	,0.000	,1785407283302028.675	,7255.960,0.000,0.000,0.000,1
5,27,0.000	,0.000	,1785407283309884.875	,7262.060,0.000,0.000,0.000,1
5,28,0.000	,0.000	,1785407283317727.995	,7268.280,0.000,0.000,0.000,1
5,29,0.000	,0.000	,1785407283325593.675	,7265.160,0.000,0.000,0.000,1
