Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,N/A,PROFILING_ENABLE,49,3,0.000,1785407283070978.315	,1785407283070978.315	
5,N/A,PROFILER_TRACE_EX,46,18,0.000,1785407283096035.095	,1785407283096035.095	
5,N/A,MODEL_EXECUTE,46,19,5.360,1785407283096035.855	,1785407283096041.215	
5,te_tril_e539f979999c06d225d42ae4fb24760575fe135e344a3b9f3c03f7b5b4aed4ca__kernel0,AI_VECTOR_CORE,45,0,1.340,1785407283096039.215	,1785407283096040.555	
5,te_cast_f322b80baae4adad3d01d4e6167e275469ba0e9445593a44b77b35362ed4cbe1__kernel0,AI_VECTOR_CORE,45,1,3.860,1785407283096040.575	,1785407283096044.435	
5,N/A,EVENT_WAIT,44,0,19.720,1785407283096041.575	,1785407283096061.295	
5,te_gatherv2_093c182c7f0d089bc5fad613890566c386fe7a018b374b80aa69798d86eb0fb0__kernel0,AI_VECTOR_CORE,45,2,8.960,1785407283096044.455	,1785407283096053.415	
5,N/A,NOTIFY_WAIT,46,20,7197.760,1785407283096051.835	,1785407283103249.595	
5,te_cast_d083929a43ef843ab641c1d3099e20676f0a139ddfeb14b30775bb5e0cabf1ce__kernel0,AI_VECTOR_CORE,45,3,1.360,1785407283096053.455	,1785407283096054.815	
5,te_fused_op_square_reduce_mean_d_eda41f3bf4fb803584a589268998b7f631e7093efb16f63fa2727d67525184fa__kernel0,AI_VECTOR_CORE,45,4,1.500,1785407283096054.835	,1785407283096056.335	
5,te_fused_op_add_sqrt_real_div_a26da73a381c887af6cf15f23f0f5054268369b69498d82fea42af5638327db3__kernel0,AI_VECTOR_CORE,45,5,1.320,1785407283096056.355	,1785407283096057.675	
5,te_fused_op_cast_mul_d4c5c3cb2d88aba3633d4c52b6f93126c6ac2bb8ff66536d257e9ee98bec8119__kernel0,AI_VECTOR_CORE,45,6,1.320,1785407283096057.695	,1785407283096059.015	
5,te_mul_bf07ba7789e6b5ba632e38a7b155ddb579f2c65a73c8edec5d73fe5caa3383e0__kernel0,AI_VECTOR_CORE,45,7,1.320,1785407283096059.055	,1785407283096060.375	
5,N/A,EVENT_RECORD,45,8,0.020,1785407283096060.395	,1785407283096060.415	
5,te_batchmatmulv2_361169014e115f621781e5268aa613ed9c5ffedb4a2bd9cf6672ef848806874c__kernel0,AI_CORE,45,9,12.460,1785407283096060.435	,1785407283096072.895	
5,N/A,EVENT_RESET,44,1,0.100,1785407283096061.335	,1785407283096061.435	
5,N/A,EVENT_RECORD,44,2,0.020,1785407283096061.455	,1785407283096061.475	
5,N/A,EVENT_RECORD,44,3,0.020,1785407283096061.495	,1785407283096061.515	
5,N/A,EVENT_RECORD,44,4,0.020,1785407283096061.535	,1785407283096061.555	
5,N/A,EVENT_WAIT,44,5,12.220,1785407283096061.575	,1785407283096073.795	
5,N/A,EVENT_RECORD,45,10,0.020,1785407283096072.915	,1785407283096072.935	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,11,9.940,1785407283096072.955	,1785407283096082.895	
5,N/A,EVENT_RESET,44,6,0.100,1785407283096073.815	,1785407283096073.915	
5,N/A,EVENT_WAIT,44,7,9.880,1785407283096073.935	,1785407283096083.815	
5,N/A,EVENT_RECORD,45,12,0.020,1785407283096082.915	,1785407283096082.935	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,13,10.800,1785407283096082.955	,1785407283096093.755	
