Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,model,InputCopy,117.48,29,4.051,1.51,9.3,4.522
host,model,ModelExecute,193117.38,29,6659.22,6554.03,8562.76,129942.405
host,model,ModelLoad,576118.12,1,576118.12,576118.12,576118.12,0
host,model,OutputCopy,23.15,29,0.798,0.25,1.94,0.185
host,acl,aclmdlExecute,194842.68,29,6718.713,6601.1,8656.55,135151.532
host,acl,aclrtMemcpy,7519.92,136,55.294,10.63,795.66,6817.075
host,acl,aclrtMemset,16060.54,1,16060.54,16060.54,16060.54,0
host,acl,aclrtSetCurrentContext,120.62,29,4.159,0.71,13.1,12.281
host,node,launch,6178.33,686,9.006,3.95,275.21,216
host,node,step_info,821.81,58,14.169,5.88,65.32,88.004
