Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
5,BatchMatMulV2,AI_CORE,7337,138292.56,7.14,18.848,362.82,75.787
5,GatherV2,AI_VECTOR_CORE,4089,15676.86,1.08,3.833,11.16,8.591
5,ConcatD,AI_VECTOR_CORE,1653,7392.94,3.34,4.472,8.76,4.051
5,RotaryPositionEmbedding,MIX_AIV,1624,5898.5,2.48,3.632,6.62,3.232
5,Add,AI_VECTOR_CORE,2436,5691.1,1.36,2.336,8.28,3.119
5,Transpose,AI_VECTOR_CORE,29,3861.1,130.22,133.141,139.74,2.116
5,SoftmaxV2,AI_VECTOR_CORE,812,2093.12,2.24,2.577,4.24,1.147
5,AutomaticBufferFusionOp,AI_VECTOR_CORE,870,1954.94,1.24,2.247,3.1,1.071
5,RealDiv,AI_VECTOR_CORE,812,991.06,1.04,1.22,1.52,0.543
5,Cast,AI_VECTOR_CORE,116,454,1.26,3.913,10.32,0.249
5,SelectV2,AI_VECTOR_CORE,29,52.58,1.72,1.813,2.08,0.029
5,Mul,AI_VECTOR_CORE,29,39.78,1.24,1.371,1.52,0.022
5,Square,AI_VECTOR_CORE,29,38.76,1.22,1.336,1.5,0.021
5,Tril,AI_VECTOR_CORE,29,38.1,1.16,1.313,1.52,0.021
