Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_fp16_ratio,aic_mac_int8_ratio,aic_cube_fops,aiv_time(us),aiv_total_cycles,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_misc_ratio,aiv_vector_fops
5,1,0,45,MY_/model/Trilu_Tril,Tril,static,AI_VECTOR_CORE,1785408436954725.555	,1.280,0,1,0,NO,"""1,1,1""",FLOAT,NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.758,1364,0.0,0.0,0.0,0.001,64.0
5,1,1,45,/model/Cast_1,Cast,static,AI_VECTOR_CORE,1785408436954726.855	,3.000,0.000000,9,0,NO,"""1,1,4097""",INT64,NCHW,"""1,1,4097""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,2.015,32638,0.0,0.0,0.0,0.006,6016.0
5,1,2,45,PartitionedCall_/model/embed_tokens/Gather_gatherv2_3,GatherV2,static,AI_VECTOR_CORE,1785408436954729.875	,7.300,0.250000,48,0,NO,"""151936,1536;1,1;""",FLOAT16;INT64;INT32,NCHW;NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,3.818,329876,0.0,0.0,0.0,0.001,13824.0
5,1,3,45,/model/layers.0/input_layernorm/Cast,Cast,static,AI_VECTOR_CORE,1785408436954737.195	,1.340,0.000000,2,0,NO,"""1,1,1536""",FLOAT16,NCHW,"""1,1,1536""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.735,2645,0.009,0.0,0.0,0.005,1920.0
5,1,4,45,/model/layers.0/input_layernorm/Pow/SquarePartitionedCall_/model/layers.0/input_layernorm/ReduceMean_ReduceMean_440,Square,static,AI_VECTOR_CORE,1785408436954738.555	,1.320,0.000000,1,0,NO,"""1,1,1536""",FLOAT,NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.793,1427,0.05,0.0,0.0,0.004,4768.0
5,1,5,45,/model/layers.0/input_layernorm/Add/model/layers.0/input_layernorm/Sqrt/model/layers.0/input_layernorm/Div,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1785408436954739.895	,1.400,0.180000,1,0,NO,"""1,1,1;;""",FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.847,1525,0.002,0.0,0.0,0.003,320.0
5,1,6,45,trans_Cast_0/model/layers.0/input_layernorm/Mul,Cast,static,AI_VECTOR_CORE,1785408436954741.315	,1.420,0.000000,2,0,NO,"""1,1,1;1,1,1536""",FLOAT;FLOAT16,NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.778,2800,0.005,0.004,0.0,0.005,2880.0
5,1,7,45,/model/layers.0/input_layernorm/Mul_1,Mul,static,AI_VECTOR_CORE,1785408436954742.775	,1.500,0.080000,1,0,NO,"""1536;1,1,1536""",FLOAT16;FLOAT16,NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.95,1710,0.007,0.007,0.0,0.004,2496.0
5,1,9,45,/model/layers.0/self_attn/q_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408436954744.335	,11.320,0.000000,24,0,NO,"""1,1536;1536,1536;1536""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,1536""",FLOAT16,NCHW,N/A,10.092,435959,0.04,0.0,142434304.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,11,45,/model/layers.0/self_attn/k_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408436954755.715	,10.120,0.180000,16,0,NO,"""1,1536;1536,256;256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,256""",FLOAT16,NCHW,N/A,9.123,262756,0.021,0.0,45236224.0,0.0,0,0.0,0.0,0.0,0.0,0.0
