Device_id,Iteration ID,FP Start(us),BP End(us),Iteration End(us),Iteration Time(us),FP to BP Time(us),Iteration Refresh(us),Data Aug Bound(us),Model ID
5,1,0.000	,0.000	,1785408436961301.875	,6591.480,0.000,0.000,0.000,1
5,2,0.000	,0.000	,1785408436968165.975	,6568.640,0.000,0.000,0.000,1
5,3,0.000	,0.000	,1785408436974955.555	,6558.980,0.000,0.000,0.000,1
5,4,0.000	,0.000	,1785408436981740.375	,6581.760,0.000,0.000,0.000,1
5,5,0.000	,0.000	,1785408436988520.515	,6568.780,0.000,0.000,0.000,1
5,6,0.000	,0.000	,1785408436995283.515	,6560.920,0.000,0.000,0.000,1
5,7,0.000	,0.000	,1785408437002027.795	,6551.380,0.000,0.000,0.000,1
5,8,0.000	,0.000	,1785408437008793.715	,6571.780,0.000,0.000,0.000,1
5,9,0.000	,0.000	,1785408437015552.675	,6561.600,0.000,0.000,0.000,1
5,10,0.000	,0.000	,1785408437022305.075	,6561.320,0.000,0.000,0.000,1
5,11,0.000	,0.000	,1785408437030306.135	,6578.120,0.000,0.000,0.000,1
5,12,0.000	,0.000	,1785408437038347.355	,6580.280,0.000,0.000,0.000,1
5,13,0.000	,0.000	,1785408437045980.535	,6586.120,0.000,0.000,0.000,1
5,14,0.000	,0.000	,1785408437053418.295	,6591.960,0.000,0.000,0.000,1
5,15,0.000	,0.000	,1785408437060746.055	,6578.140,0.000,0.000,0.000,1
5,16,0.000	,0.000	,1785408437068544.975	,6569.160,0.000,0.000,0.000,1
5,17,0.000	,0.000	,1785408437075850.695	,6598.760,0.000,0.000,0.000,1
5,18,0.000	,0.000	,1785408437083043.755	,6580.920,0.000,0.000,0.000,1
5,19,0.000	,0.000	,1785408437090207.415	,6568.120,0.000,0.000,0.000,1
5,20,0.000	,0.000	,1785408437097377.915	,6573.060,0.000,0.000,0.000,1
5,21,0.000	,0.000	,1785408437105281.435	,6572.680,0.000,0.000,0.000,1
5,22,0.000	,0.000	,1785408437112726.795	,6576.420,0.000,0.000,0.000,1
5,23,0.000	,0.000	,1785408437120077.875	,6567.700,0.000,0.000,0.000,1
5,24,0.000	,0.000	,1785408437129085.575	,6579.780,0.000,0.000,0.000,1
5,25,0.000	,0.000	,1785408437136795.895	,6566.160,0.000,0.000,0.000,1
5,26,0.000	,0.000	,1785408437144502.035	,6589.520,0.000,0.000,0.000,1
5,27,0.000	,0.000	,1785408437152445.655	,6557.840,0.000,0.000,0.000,1
5,28,0.000	,0.000	,1785408437160497.075	,6643.760,0.000,0.000,0.000,1
5,29,0.000	,0.000	,1785408437170635.055	,8534.140,0.000,0.000,0.000,1
