Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,N/A,PROFILING_ENABLE,49,3,0.000,1785408436930200.715	,1785408436930200.715	
5,N/A,PROFILER_TRACE_EX,46,18,0.020,1785408436954721.415	,1785408436954721.435	
5,N/A,MODEL_EXECUTE,46,19,5.360,1785408436954722.215	,1785408436954727.575	
5,te_tril_e539f979999c06d225d42ae4fb24760575fe135e344a3b9f3c03f7b5b4aed4ca__kernel0,AI_VECTOR_CORE,45,0,1.280,1785408436954725.555	,1785408436954726.835	
5,te_cast_f322b80baae4adad3d01d4e6167e275469ba0e9445593a44b77b35362ed4cbe1__kernel0,AI_VECTOR_CORE,45,1,3.000,1785408436954726.855	,1785408436954729.855	
5,N/A,EVENT_WAIT,44,0,17.180,1785408436954728.035	,1785408436954745.215	
5,te_gatherv2_093c182c7f0d089bc5fad613890566c386fe7a018b374b80aa69798d86eb0fb0__kernel0,AI_VECTOR_CORE,45,2,7.300,1785408436954729.875	,1785408436954737.175	
5,te_cast_d083929a43ef843ab641c1d3099e20676f0a139ddfeb14b30775bb5e0cabf1ce__kernel0,AI_VECTOR_CORE,45,3,1.340,1785408436954737.195	,1785408436954738.535	
5,N/A,NOTIFY_WAIT,46,20,6510.780,1785408436954738.035	,1785408436961248.815	
5,te_fused_op_square_reduce_mean_d_eda41f3bf4fb803584a589268998b7f631e7093efb16f63fa2727d67525184fa__kernel0,AI_VECTOR_CORE,45,4,1.320,1785408436954738.555	,1785408436954739.875	
5,te_fused_op_add_sqrt_real_div_a26da73a381c887af6cf15f23f0f5054268369b69498d82fea42af5638327db3__kernel0,AI_VECTOR_CORE,45,5,1.400,1785408436954739.895	,1785408436954741.295	
5,te_fused_op_cast_mul_d4c5c3cb2d88aba3633d4c52b6f93126c6ac2bb8ff66536d257e9ee98bec8119__kernel0,AI_VECTOR_CORE,45,6,1.420,1785408436954741.315	,1785408436954742.735	
5,te_mul_bf07ba7789e6b5ba632e38a7b155ddb579f2c65a73c8edec5d73fe5caa3383e0__kernel0,AI_VECTOR_CORE,45,7,1.500,1785408436954742.775	,1785408436954744.275	
5,N/A,EVENT_RECORD,45,8,0.020,1785408436954744.295	,1785408436954744.315	
5,te_batchmatmulv2_361169014e115f621781e5268aa613ed9c5ffedb4a2bd9cf6672ef848806874c__kernel0,AI_CORE,45,9,11.320,1785408436954744.335	,1785408436954755.655	
5,N/A,EVENT_RESET,44,1,0.100,1785408436954745.255	,1785408436954745.355	
5,N/A,EVENT_RECORD,44,2,0.020,1785408436954745.375	,1785408436954745.395	
5,N/A,EVENT_RECORD,44,3,0.020,1785408436954745.415	,1785408436954745.435	
5,N/A,EVENT_RECORD,44,4,0.020,1785408436954745.455	,1785408436954745.475	
5,N/A,EVENT_RECORD,44,5,0.020,1785408436954745.495	,1785408436954745.515	
5,N/A,EVENT_WAIT,44,6,11.060,1785408436954745.535	,1785408436954756.595	
5,N/A,EVENT_RECORD,45,10,0.020,1785408436954755.675	,1785408436954755.695	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,11,10.120,1785408436954755.715	,1785408436954765.835	
5,N/A,EVENT_RESET,44,7,0.100,1785408436954756.635	,1785408436954756.735	
5,N/A,EVENT_WAIT,44,8,10.040,1785408436954756.755	,1785408436954766.795	
5,N/A,EVENT_RECORD,45,12,0.020,1785408436954765.855	,1785408436954765.875	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,13,10.000,1785408436954765.895	,1785408436954775.895	
5,N/A,EVENT_RESET,44,9,0.080,1785408436954766.855	,1785408436954766.935	
5,N/A,EVENT_WAIT,44,10,149.660,1785408436954766.955	,1785408436954916.615	
5,te_transpose_96c0d62757a4ca87ab6fb3416316f12be2680d9ea69cf88b59a252250920eb84__kernel0,AI_VECTOR_CORE,45,14,139.740,1785408436954775.915	,1785408436954915.655	
5,N/A,EVENT_RECORD,45,15,0.020,1785408436954915.675	,1785408436954915.695	
5,N/A,EVENT_WAIT,45,16,1.960,1785408436954915.715	,1785408436954917.675	
5,N/A,EVENT_RESET,44,11,0.100,1785408436954916.655	,1785408436954916.755	
5,N/A,EVENT_RECORD,44,12,0.020,1785408436954916.775	,1785408436954916.795	
5,N/A,EVENT_RECORD,44,13,0.020,1785408436954916.815	,1785408436954916.835	
5,N/A,EVENT_WAIT,44,14,727.740,1785408436954916.855	,1785408436955644.595	
5,N/A,EVENT_RESET,45,17,0.100,1785408436954917.735	,1785408436954917.835	
5,te_gatherv2_32da66449a6dcce3b9ce6f5daa62459d9d4045bcc57dd49b94d6a8070eb661aa__kernel0,AI_VECTOR_CORE,45,18,1.640,1785408436954917.855	,1785408436954919.495	
5,N/A,EVENT_WAIT,45,19,0.020,1785408436954919.515	,1785408436954919.535	
5,N/A,EVENT_RESET,45,20,0.100,1785408436954919.555	,1785408436954919.655	
5,te_gatherv2_32da66449a6dcce3b9ce6f5daa62459d9d4045bcc57dd49b94d6a8070eb661aa__kernel0,AI_VECTOR_CORE,45,21,1.340,1785408436954919.675	,1785408436954921.015	
5,N/A,EVENT_WAIT,45,22,0.020,1785408436954921.035	,1785408436954921.055	
5,N/A,EVENT_RESET,45,23,0.100,1785408436954921.075	,1785408436954921.175	
5,te_rotarypositionembedding_55cda2a9968ed139ed3fa86a56e751904aac86dbc2e553105668df265c4dd275,MIX_AIV,45,24,4.600,1785408436954922.075	,1785408436954926.675	
5,N/A,EVENT_WAIT,45,25,0.020,1785408436954927.515	,1785408436954927.535	
5,N/A,EVENT_RESET,45,26,0.100,1785408436954927.555	,1785408436954927.655	
5,te_rotarypositionembedding_eede566b717ead18a4218a0c9fa9a80d8fcd61b3195acba056ecd968fa4ce688,MIX_AIV,45,27,6.040,1785408436954929.375	,1785408436954935.415	
5,te_realdiv_b25b9d93f89e57b63a2cb71223caaddbe0ca0a3cd10fa594675c51c34ef4b0a3__kernel0,AI_VECTOR_CORE,45,28,1.420,1785408436954936.655	,1785408436954938.075	
5,te_concatd_e48b8d59d1b8f861d7758ffa060c303dc286eea7e8a08b42422d64c97cf3ca38__kernel0,AI_VECTOR_CORE,45,29,8.540,1785408436954938.095	,1785408436954946.635	
5,te_fused_op_mul_less_072c27b71de954c6c31904cd0534cb7b1b992d4d8d4ed074be829d7a596b9b95__kernel0,AI_VECTOR_CORE,45,30,2.320,1785408436954946.655	,1785408436954948.975	
5,te_selectv2_f431b3c32fd0c255b66fedc21fef567ca35ebe348e73d83abf8b7eef5fdaf840__kernel0,AI_VECTOR_CORE,45,31,1.980,1785408436954948.995	,1785408436954950.975	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,32,10.440,1785408436954950.995	,1785408436954961.435	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,33,8.000,1785408436954961.475	,1785408436954969.475	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,34,5.780,1785408436954969.495	,1785408436954975.275	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,35,5.020,1785408436954975.295	,1785408436954980.315	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,36,4.180,1785408436954980.335	,1785408436954984.515	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,37,3.840,1785408436954984.535	,1785408436954988.375	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,38,7.380,1785408436954988.395	,1785408436954995.775	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,39,3.820,1785408436954995.795	,1785408436954999.615	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,40,5.780,1785408436954999.635	,1785408436955005.415	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,41,5.360,1785408436955005.435	,1785408436955010.795	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,42,6.080,1785408436955010.815	,1785408436955016.895	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,43,4.020,1785408436955016.935	,1785408436955020.955	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,44,7.200,1785408436955020.995	,1785408436955028.195	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,45,3.880,1785408436955028.215	,1785408436955032.095	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,46,5.820,1785408436955032.115	,1785408436955037.935	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,47,5.740,1785408436955037.955	,1785408436955043.695	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,48,6.000,1785408436955043.715	,1785408436955049.715	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,49,3.860,1785408436955049.735	,1785408436955053.595	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,50,7.140,1785408436955053.615	,1785408436955060.755	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,51,3.940,1785408436955060.775	,1785408436955064.715	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,52,3.840,1785408436955064.735	,1785408436955068.575	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,53,5.480,1785408436955068.595	,1785408436955074.075	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,54,5.960,1785408436955074.095	,1785408436955080.055	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,55,3.980,1785408436955080.075	,1785408436955084.055	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,56,7.600,1785408436955084.095	,1785408436955091.695	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,57,3.920,1785408436955091.715	,1785408436955095.635	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,58,5.900,1785408436955095.655	,1785408436955101.555	
5,te_gatherv2_f4c26876d4f69ba7419a2ba3731dc3ac4caa4784568175d719157062e1f08211__kernel0,AI_VECTOR_CORE,45,59,5.460,1785408436955101.575	,1785408436955107.035	
5,te_gatherv2_3e9c74d284f5a014c2535f77c6cf54a51446f59bee13bd76f0820e9ebf2aa9d4__kernel0,AI_VECTOR_CORE,45,60,5.980,1785408436955107.055	,1785408436955113.035	
